row_type,code,domain,term_en,term_fa,term_ku,section_en,used_in,ku_status
entry,PartAcc,entry,Circumstantial Participle - Accusative Absolute,بیان موقعیت - رایی مستقل,دەربڕینی بارودۆخ - ئاکووزاتیڤی سەربەخۆ,Participle,,exact
entry,PartSupp,entry,Supplementary Participle,مکمل,تەواوکەر,Participle,,exact
entry,ArtPart,entry,Particular article,معرفه‌ساز,ناسراوساز,Article,,exact
entry,ArtSubs,entry,As Substantivizer,اسم‌ساز,ناوساز,Article,,exact
entry,ArtPron,entry,Pronominal,ضمیری,جێناو,Article,,exact
entry,ArtGener,entry,Generic,اسم جنس,ناوی گشتی,Article,,exact
entry,ArtAbst,entry,Abstract Concept,با مفاهیم انتزاعی,چەمکی لێ‌دابڕاو(ئابستراکت),Article,,exact
entry,ArtProp,entry,Proper Names,با اسم خاص,لەگەڵ ناوی تایبەت,Article,,exact
entry,ArtPoss,entry,Possession,ملکی,خاوەندارێتی,Article,,exact
entry,AutEmph,entry,Emphatic,تأکیدی,جەختکەر,The pronoun αὐτός,,exact
entry,AutPron,entry,Personal Pronoun,ضمیر شخصی,جێناوی کەس,The pronoun αὐτός,,exact
entry,AutIden,entry,Identicalness,یکسانی,هەمان(هه‌و),The pronoun αὐτός,,exact
entry,AutRefl,entry,Reflexive,انعکاسی,گەڕانەوەیی (Reflexive),The pronoun αὐτός,,exact
entry,Agr,entry,Agreement,انطباق صرفی,ڕێک بوونی گه‌ردانی,Notes,,exact
entry,GBP,entry,Governed by Preposition,معمول حرف‌اضافه,به‌گوێره‌ی پیتی پێوەندی,Notes,,exact
metalanguage,,word class,verb,فعل,کردار,,Nominative > Subject (§NomSubj); Nominative > Predicate (§NomPred); Genitive > Subjective (§GenSubj); Genitive > Objective (§GenObj); +57 more,verified
metalanguage,,word class,noun,اسم,ناو,,Nominative > Predicate (§NomPred); Genitive > Partitive (§GenPart); Genitive > Material (§GenMat); Genitive > Measure (§GenMeas); +24 more,verified
metalanguage,,word class,pronoun,ضمیر,جێناو,,Genitive > In Genitive Absolute (§GenAbs); Dative > Ethical Dative (or Dative of Feeling) (§DatEthic); Dative > Experiencer (§DatExpr); Accusative > Cause or Goal (§AccCaus); +8 more,verified
metalanguage,,word class,personal pronoun,ضمیر شخصی,جێناوی کەسی,,Dative > Ethical Dative (or Dative of Feeling) (§DatEthic); Article > Pronominal (§ArtPron); The pronoun αὐτός > Personal Pronoun (§AutPron),verified
metalanguage,,word class,reflexive pronoun,ضمیر انعکاسی,جێناوی گەڕانەوەیی,,Middle Voice > Direct Reflexive Middle (§MidDir); The pronoun αὐτός > Reflexive (§AutRefl),verified
metalanguage,,word class,adjective,صفت,ئاوەڵناو,,Dative > Agent (§DatAgent); Dative > Measure of Difference (§DatMeas); Dative > Respect (§DatResp); Accusative > Respect (§AccResp); +5 more,verified
metalanguage,,word class,comparative,صفت تفضیلی,ئاوەڵناوی بەراوردکاری,,Genitive > Comparison (§GenComp); Dative > Measure of Difference (§DatMeas),verified
metalanguage,,word class,superlative,صفت عالی,ئاوەڵناوی هەرەیی,,Genitive > Comparison (§GenComp); Dative > Measure of Difference (§DatMeas),verified
metalanguage,,word class,adverb,قید,ئاوەڵکار,,Genitive > Comparison (§GenComp); Dative > Manner and means (§DatMean); Accusative > Adverbial (§AccAdv); Accusative > Oaths (§AccOath); +2 more,verified
metalanguage,,word class,article,حرف تعریف,پیتی پێناسە,,Genitive > Possessor (§GenPos); Accusative > Time (§AccTime); Optative > Potential Optative (§OptPoten); Infinitive > Articular Infinitive (§InfArt); +10 more,verified
metalanguage,,word class,preposition,حرف اضافه,پیتی پێوەندی,,Dative > Complement of the verb (§DatVerb); Dative > Time (§DatTime); Dative > Place (§DatLoc); Accusative > Direction (§AccDirec),verified
metalanguage,,word class,participle,وجه وصفی,ئاوەڵناوی کرداری,,Genitive > In Genitive Absolute (§GenAbs); Dative > Experiencer (§DatExpr); Accusative > Subject of Infinitive or Participle (§AccSubj); Present > Non-indicative (Imperfective Aspect) (§PresNoni); +11 more,verified
metalanguage,,word class,infinitive,اسم‌مصدر / مصدر,چاوگ,,Accusative > Subject of Infinitive or Participle (§AccSubj); Present > Non-indicative (Imperfective Aspect) (§PresNoni); Future > Non-indicative (§FutNoni); Aorist > Non-indicative (Perfective Aspect) (§AorNoni); +9 more,verified
metalanguage,,word class,verbal stem,ماده‌ی فعل,,,Accusative > Cognate (§AccCog); Present > Non-indicative (Imperfective Aspect) (§PresNoni); Imperfect > Customary Action (Iterative) (§ImpfIter); Future > Non-indicative (§FutNoni),not confirmed
metalanguage,,case,case,حالت صرفی,دۆخ,,Nominative > Subject (§NomSubj); Nominative > As Vocative (§NomVoc); Dative > Ethical Dative (or Dative of Feeling) (§DatEthic); Dative > Instrument (§DatInstr); +10 more,verified
metalanguage,,case,nominative,حالت نهادی,دۆخی نیهادی,,Nominative > Subject (§NomSubj); Nominative > Predicate (§NomPred); Nominative > Independent (§NomInd); Nominative > As Vocative (§NomVoc); +2 more,verified
metalanguage,,case,genitive,حالت اضافی,دۆخی ئیزافە,,Genitive > Possessor (§GenPos); Genitive > Partitive (§GenPart); Genitive > Quality (§GenQual); Genitive > Explanation (§GenExpl); +19 more,verified
metalanguage,,case,dative,حالت برایی,دۆخی داتیڤ,,Genitive > Complement of the Verb (§GenVerb); Dative > Complement of the verb (§DatVerb); Dative > Possessor (§DatPos); Dative > Advantage (or Disadvantage) (§DatAdvn); +12 more,verified
metalanguage,,case,accusative,حالت رایی,دۆخی ئاکووزاتیڤ,,Genitive > Complement of the Verb (§GenVerb); Genitive > Time (§GenTime); Dative > Complement of the verb (§DatVerb); Dative > Respect (§DatResp); +15 more,verified
metalanguage,,case,vocative,حالت ندایی,دۆخی ڤوکاتیڤ,,Nominative > As Vocative (§NomVoc); Vocative > Exclamations and direct address (§Voc),verified
metalanguage,,case,instrumental case,صرف بایی,,,Dative > Instrument (§DatInstr),not confirmed
metalanguage,,case,locative case,صرف دری,,,Dative > Place (§DatLoc),not confirmed
metalanguage,,tense,tense,زمان,کات,,Dative > Agent (§DatAgent); Present > Present of Continuity (§Pres); Present > Customary Action (Iterative) (§PresIter); Present > Resultative and Perfective Present (§PresPerf); +19 more,verified
metalanguage,,tense,present,زمان حال,کاتی ئێستا,,Present > Present of Continuity (§Pres); Present > Customary Action (Iterative) (§PresIter); Present > Conative Present (§PresCona); Present > Historical Present (§PresHist); +22 more,verified
metalanguage,,tense,imperfect,گذشته‌ی استمراری,کاتی ڕابردووی بەردەوام,,Present > Historical Present (§PresHist); Imperfect > Imperfect of Continuance (§Impf); Imperfect > Customary Action (Iterative) (§ImpfIter); Imperfect > Conative Imperfect (§ImpfCona); +10 more,verified
metalanguage,,tense,future,زمان آینده,کاتی داهاتوو,,Present > Present of Continuity (§Pres); Present > Customary Action (Iterative) (§PresIter); Future > Future Events or Expectations (§Fut); Future > Hypothesis or General Truth (§FutHypo); +15 more,verified
metalanguage,,tense,aorist,گذشته‌ی تام,ڕابردووی دیاری‌نەکراو,,Present > Customary Action (Iterative) (§PresIter); Present > Historical Present (§PresHist); Imperfect > Imperfect of Continuance (§Impf); Imperfect > Customary Action (Iterative) (§ImpfIter); +19 more,verified
metalanguage,,tense,perfect,حال کامل,کاتی ئێستای تەواو,,Dative > Agent (§DatAgent); Present > Customary Action (Iterative) (§PresIter); Present > Resultative and Perfective Present (§PresPerf); Perfect > Completed action (§Perf); +9 more,verified
metalanguage,,tense,pluperfect,گذشته‌ی کامل,کاتی ڕابردووی تەواو,,Dative > Agent (§DatAgent); Perfect > Non-indicative (§PerfNoni); Pluperfect > Past Perfect (§Pperf); Pluperfect > Pluperfect of Immediate Occurrence (§PperfImm); +3 more,verified
metalanguage,,tense,future perfect,آینده‌ی کامل,کاتی داهاتووی تەواو,,Perfect > Perfect for Future Perfect (§PerfFut); Future Perfect > Future Completed Action (§Futperf); Future Perfect > Intensive or Immediate Consequence (§FutperfInten),verified
metalanguage,,tense,past,گذشته,ڕابردوو,,Present > Historical Present (§PresHist); Present > Resultative and Perfective Present (§PresPerf); Imperfect > Imperfect of Continuance (§Impf); Imperfect > Customary Action (Iterative) (§ImpfIter); +11 more,verified
metalanguage,,tense,present stem,ماده‌ی حال,,,Present > Non-indicative (Imperfective Aspect) (§PresNoni),not confirmed
metalanguage,,aspect,aspect,نمود,دۆخ / لایەن,,Present > Present of Continuity (§Pres); Present > Non-indicative (Imperfective Aspect) (§PresNoni); Future > Non-indicative (§FutNoni); Aorist > Non-indicative (Perfective Aspect) (§AorNoni); +1 more,verified
metalanguage,,aspect,grammatical aspect,نمود دستوری,دەربڕینی ڕێزمانی,,Present > Non-indicative (Imperfective Aspect) (§PresNoni); Future > Non-indicative (§FutNoni),verified
metalanguage,,aspect,imperfective,نمود ناکامل,لایەنی ناتەواو,,Present > Present of Continuity (§Pres); Present > Non-indicative (Imperfective Aspect) (§PresNoni),verified
metalanguage,,aspect,perfective,نمود کامل,,,Present > Resultative and Perfective Present (§PresPerf); Aorist > Non-indicative (Perfective Aspect) (§AorNoni),not confirmed
metalanguage,,aspect,telic,غایی,,,Present > Resultative and Perfective Present (§PresPerf); Imperfect > Conative Imperfect (§ImpfCona); Imperfect > Imperfect of Completed Action (§ImpfComp); Perfect > Intensive Perfect (§PerfInten),not confirmed
metalanguage,,aspect,atelic,غیر غایی,,,Aorist > Ingressive Aorist (§AorIngr); Perfect > Intensive Perfect (§PerfInten); Pluperfect > Intensive Pluperfect (§PperfInt),not confirmed
metalanguage,,aspect,ingressive,آغازشگر,دەستپێکەر,,Future > Future Events or Expectations (§Fut); Aorist > Resultative Aorist (§Aor); Aorist > Ingressive Aorist (§AorIngr),verified
metalanguage,,aspect,resultative,نتیجه‌محور,دەرئەنجام‌تەوەر,,Present > Resultative and Perfective Present (§PresPerf); Future > Future Events or Expectations (§Fut); Aorist > Resultative Aorist (§Aor),verified
metalanguage,,aspect,complexive,مرکب,,,Aorist > Complexive Aorist (§AorComp),not confirmed
metalanguage,,aspect,iterative,تکراری,,,Imperfect > Customary Action (Iterative) (§ImpfIter); Aorist > Customary Action (Iterative) (§AorIter); Optative > In subordinate clause (§OptSubor),not confirmed
metalanguage,,aspect,conative,ارادی,,,Imperfect > Conative Imperfect (§ImpfCona),not confirmed
metalanguage,,aspect,gnomic,بیان حقایق کلی,,,Future > Hypothesis or General Truth (§FutHypo); Aorist > Gnomic Aorist (§AorGnom),not confirmed
metalanguage,,aspect,intensive,تأکیدی,جەختکەرەوە,,Perfect > Intensive Perfect (§PerfInten); Pluperfect > Intensive Pluperfect (§PperfInt); The pronoun αὐτός > Emphatic (§AutEmph),verified
metalanguage,,aspect,completed action,کنش کامل,کرداری تەواو,,Dative > Agent (§DatAgent); Perfect > Completed action (§Perf); Pluperfect > Past Perfect (§Pperf); Future Perfect > Future Completed Action (§Futperf),verified
metalanguage,,aspect,ongoing action,کنش در حال انجام,کرداری بەردەوام,,Present > Non-indicative (Imperfective Aspect) (§PresNoni); Imperfect > Imperfect of Continuance (§Impf); Future > Non-indicative (§FutNoni); Aorist > Non-indicative (Perfective Aspect) (§AorNoni); +1 more,verified
metalanguage,,aspect,repeated action,کنش تکراری,دووپاتەکراو,,Accusative > Subject of Infinitive or Participle (§AccSubj); Present > Customary Action (Iterative) (§PresIter); Present > Non-indicative (Imperfective Aspect) (§PresNoni); Imperfect > Customary Action (Iterative) (§ImpfIter); +3 more,verified
metalanguage,,aspect,customary action,کنش مرسوم / عادت,باو,,Present > Customary Action (Iterative) (§PresIter); Imperfect > Customary Action (Iterative) (§ImpfIter); Aorist > Customary Action (Iterative) (§AorIter),verified
metalanguage,,mood,mood,وجه,ڕێژە,,Present > Non-indicative (Imperfective Aspect) (§PresNoni); Future > Non-indicative (§FutNoni); Aorist > Non-indicative (Perfective Aspect) (§AorNoni); Perfect > Non-indicative (§PerfNoni); +3 more,verified
metalanguage,,mood,indicative,وجه اخباری,ڕێژەی ئیخباری,,Present > Customary Action (Iterative) (§PresIter); Present > Non-indicative (Imperfective Aspect) (§PresNoni); Future > Non-indicative (§FutNoni); Aorist > Non-indicative (Perfective Aspect) (§AorNoni); +7 more,verified
metalanguage,,mood,non-indicative,غیراخباری,,,Perfect > Non-indicative (§PerfNoni),not confirmed
metalanguage,,mood,subjunctive,وجه التزامی,ڕێژەی داخوازی,,Present > Non-indicative (Imperfective Aspect) (§PresNoni); Aorist > Non-indicative (Perfective Aspect) (§AorNoni); Perfect > Non-indicative (§PerfNoni); Subjunctive > Hortatory Subjunctive (§SubjHort); +6 more,verified
metalanguage,,mood,optative,وجه تمنایی,ڕێژەی خۆزگەیی,,Present > Non-indicative (Imperfective Aspect) (§PresNoni); Aorist > Non-indicative (Perfective Aspect) (§AorNoni); Perfect > Non-indicative (§PerfNoni); Optative > Optative of Wish (§OptWish); +5 more,verified
metalanguage,,mood,imperative,وجه امری,ڕێژەی فەرمان,,Present > Non-indicative (Imperfective Aspect) (§PresNoni); Future > Jussive Future (§FutJuss); Aorist > Non-indicative (Perfective Aspect) (§AorNoni); Perfect > Non-indicative (§PerfNoni); +5 more,verified
metalanguage,,mood,potential,بالقوه,ڕەنگەیی,,Indicative > Counterfactual Indicative (§IndCount); Optative > Potential Optative (§OptPoten); Optative > In subordinate clause (§OptSubor); Infinitive > Dynamic infinitive (§InfDyn); +1 more,verified
metalanguage,,mood,counterfactual,خلاف واقع,ناڕاست,,Indicative > Assertions and Questions (§Ind); Indicative > Unfulfilled Obligation (§IndOblig); Indicative > Counterfactual Indicative (§IndCount),verified
metalanguage,,voice,voice,جهت,ڕێژە,,Active Voice > Active Voice (§Act); Middle Voice > Spontaneous Process Middle (§MidSpon); Passive Voice > Passive voice (§Pass),verified
